price,area,bedrooms,bathrooms,address,price_per_m2
2.39,59.0,2.0,2.0,bình chánh,0.040508474576271186
1.32,40.0,1.0,1.0,bình chánh,0.033
11.7,120.0,6.0,6.0,nhà bè,0.09749999999999999
1.6800000000000002,102.0,3.0,2.0,quận 6,0.01647058823529412
2.7,69.2,2.0,2.0,quận 9,0.03901734104046243
3.35,86.0,2.0,2.0,quận 8,0.038953488372093024
12.0,56.8,3.0,3.0,quận 5,0.21126760563380284
15.0,116.0,6.0,6.0,quận 7,0.12931034482758622
2.0,60.0,1.0,1.0,quận 5,0.03333333333333333
4.9,102.0,3.0,2.0,quận 5,0.04803921568627451
2.89,1.0,2.0,2.0,quận 3,2.89
30.0,1400.0,60.0,60.0,quận 9,0.02142857142857143
3.7,60.0,2.0,1.0,quận 4,0.06166666666666667
4.79,72.0,2.0,2.0,tân bình,0.06652777777777778
24.999,78.0,9.0,10.0,quận 3,0.3205
5.39,66.82,2.0,2.0,quận 7,0.08066447171505538
8.5,73.2,2.0,2.0,quận 2,0.11612021857923496
0.0362,58.0,2.0,1.0,bình chánh,0.0006241379310344828
3.7,66.66,2.0,2.0,quận 7,0.05550555055505551
6.75,87.0,2.0,2.0,quận 2,0.07758620689655173
7.0,68.9,2.0,2.0,quận 2,0.1015965166908563
1.09,48.0,3.0,2.0,bình chánh,0.022708333333333334
55.0,262.0,3.0,4.0,quận 9,0.2099236641221374
35.0,396.0,6.0,6.0,nhà bè,0.08838383838383838
3.05,69.0,2.0,2.0,quận 9,0.04420289855072464
3.08,70.0,3.0,2.0,quận 9,0.044000000000000004
6.64,83.0,2.0,2.0,quận 4,0.08
4.5,71.67,2.0,2.0,quận 9,0.06278777731268313
8.0,74.2,2.0,2.0,quận 2,0.10781671159029649
45.0,151.0,3.0,3.0,quận 2,0.2980132450331126
2.065,88.0,2.0,2.0,quận 3,0.02346590909090909
18.0,127.0,3.0,2.0,quận 2,0.14173228346456693
4.3,86.0,2.0,2.0,quận 5,0.049999999999999996
1.3,60.0,2.0,2.0,bình chánh,0.021666666666666667
3.95,100.0,2.0,2.0,quận 6,0.0395
1.524,57.0,2.0,1.0,quận 3,0.02673684210526316
5.3,75.3,2.0,2.0,quận 7,0.0703851261620186
4.35,74.0,2.0,2.0,quận 9,0.05878378378378378
3.8,90.0,2.0,2.0,quận 3,0.042222222222222223
10.3,97.0,2.0,2.0,quận 2,0.10618556701030929
3.31,81.7,3.0,2.0,quận 9,0.0405140758873929
3.8,90.0,3.0,2.0,quận 8,0.042222222222222223
3.7,61.0,2.0,1.0,bình tân,0.060655737704918035
10.5,120.0,3.0,2.0,quận 2,0.0875
5.2,73.91,2.0,2.0,quận 9,0.07035583818157219
3.5,68.0,2.0,2.0,tân phú,0.051470588235294115
3.65,114.0,3.0,2.0,bình chánh,0.032017543859649125
8.1,50.0,4.0,3.0,bình thạnh,0.162
11.8,119.0,3.0,2.0,quận 2,0.09915966386554623
3.5,51.25,1.0,1.0,quận 9,0.06829268292682927
8.8,86.0,2.0,2.0,quận 10,0.10232558139534885
16.8,106.0,2.0,2.0,bình thạnh,0.15849056603773587
3.6,86.0,3.0,2.0,quận 5,0.04186046511627907
5.5,92.0,2.0,2.0,quận 4,0.059782608695652176
12.5,123.0,3.0,2.0,quận 7,0.1016260162601626
8.3,79.0,2.0,0.0,quận 2,0.10506329113924051
3.8,57.0,1.0,1.0,quận 4,0.06666666666666667
8.9,51.0,1.0,1.0,quận 1,0.17450980392156865
3.7,69.19,2.0,2.0,quận 7,0.05347593582887701
7.8,90.0,3.0,2.0,quận 10,0.08666666666666667
4.15,106.0,3.0,2.0,bình thạnh,0.03915094339622642
4.1,68.0,2.0,2.0,bình tân,0.06029411764705882
7.0,47.0,2.0,2.0,gò vấp,0.14893617021276595
5.0,101.0,3.0,2.0,quận 10,0.04950495049504951
1.55,61.0,2.0,2.0,quận 2,0.02540983606557377
4.25,75.0,2.0,2.0,quận 9,0.056666666666666664
13.8,107.0,2.0,2.0,bình thạnh,0.12897196261682245
13.1,116.0,3.0,2.0,bình thạnh,0.11293103448275862
